,SDNN,RMSSD,MeanNN,pNN50,pNN20,SDSD,Label
1,39.97201996183698,27.31225841008868,796.9664429530201,4.026845637583892,44.29530201342282,27.40403033931363,1.0
2,33.915084361283064,27.95477397073892,800.7432432432432,6.081081081081082,50.0,28.050183339652666,1.0
3,46.20513910320505,32.670243763801444,814.0958904109589,8.21917808219178,49.31506849315068,32.78237483186442,1.0
4,50.98041808479776,43.20599278456635,919.6201550387595,27.13178294573644,64.34108527131784,43.34235777913253,1.0
5,52.18125846111824,45.69665868949956,909.3282442748092,28.24427480916031,73.2824427480916,45.87193809760008,1.0
6,50.52627561535736,49.01349645399387,923.65625,33.59375,73.4375,49.20742655988442,1.0
7,68.2914611027071,47.866049870014656,931.4330708661416,33.85826771653544,74.80314960629921,48.05534639829702,1.0
8,45.32670887887954,38.49989853882735,925.7906976744188,19.37984496124032,62.01550387596899,38.63155554923389,1.0
9,63.71088819050776,30.43497043122764,710.8095238095239,10.714285714285714,46.42857142857143,30.52565120166352,1.0
10,56.31002894011454,28.5903376581566,728.5092024539878,5.521472392638037,42.331288343558285,28.67792054980292,1.0
11,50.765244139746606,25.16710386363749,763.9806451612903,5.161290322580645,38.70967741935484,25.249214510074854,1.0
12,73.65479169692738,27.117930702859603,752.3860759493671,3.79746835443038,35.44303797468354,27.20461750250232,1.0
13,44.86293112320958,24.32324511993737,746.7735849056604,3.7735849056603774,36.477987421383645,24.39581292230218,1.0
14,38.93717345700882,25.06349552530572,777.625,5.263157894736842,35.526315789473685,25.14569993389651,1.0
15,24.73692294068224,21.815861619056403,889.5563909774436,0.7518796992481203,42.85714285714285,21.89579948667708,1.0
16,35.511925413783146,20.77990643092975,884.0298507462686,0.0,38.059701492537314,20.858333143313008,1.0
17,23.459389556235763,20.685317327543626,871.948905109489,0.7299270072992701,32.846715328467155,20.76090153822176,1.0
18,34.62749228408691,20.511146795270683,842.5531914893617,0.7092198581560284,40.42553191489361,20.584644642713744,1.0
19,72.31977755326616,49.88331016250186,669.7359550561798,26.40449438202247,65.73033707865169,50.02250520737008,1.0
20,72.62355404488609,60.9805354053572,662.6611111111112,20.55555555555556,50.55555555555556,61.15138794678922,1.0
21,82.43041112489989,49.842236984014086,668.8651685393259,20.786516853932586,58.98876404494382,49.983529644747016,1.0
22,75.57824140015059,48.92815214021768,709.5357142857143,22.02380952380952,54.761904761904766,49.06768329755065,1.0
23,68.66681078308406,43.91789622916155,682.8114285714286,21.142857142857142,62.28571428571429,44.044304257106,1.0
24,45.31826525323884,41.7672918282556,784.6622516556291,23.178807947019862,72.18543046357617,41.898740190251566,1.0
25,45.85922767164959,48.4188780859495,808.3378378378378,35.810810810810814,78.37837837837837,48.57892290903299,1.0
26,43.01091889092616,46.87483333303704,794.993288590604,36.24161073825504,75.83892617449665,47.03374282129912,1.0
27,39.24214982337924,38.90921680422109,780.5263157894736,19.73684210526316,72.36842105263158,39.034988550348366,1.0
28,45.62068757121298,33.41939802545165,809.1632653061224,7.482993197278912,68.70748299319727,33.523077732671865,1.0
29,39.34414796780168,38.93751580399424,807.0612244897959,21.7687074829932,65.98639455782312,39.0713777016254,1.0
30,57.28081414899128,36.76468936501382,785.1842105263158,15.13157894736842,59.210526315789465,36.88679537841669,1.0
31,56.54978912836496,32.14147358669674,796.1409395973154,8.724832214765101,58.38926174496645,32.247413957268286,1.0
32,48.91375880770827,36.52247467604824,801.3108108108108,14.864864864864863,62.83783783783784,36.64683980345248,1.0
33,48.12937420277711,24.880530869065687,800.2297297297297,2.702702702702702,41.891891891891895,24.96402406338632,1.0
34,51.72724030726207,24.75482518344684,807.1972789115646,4.081632653061225,40.81632653061224,24.839696732734254,1.0
35,31.743008883459545,20.50781484699571,788.7866666666666,2.0,30.666666666666664,20.565737860208387,1.0
36,49.14080847078907,21.7834009349181,780.296052631579,1.973684210526316,35.526315789473685,21.85509977816312,1.0
37,35.46612106930904,22.889708943326564,804.0675675675676,3.3783783783783785,33.78378378378378,22.965529062361163,1.0
38,39.349716355871,38.06721261211987,830.4195804195804,18.88111888111888,65.73426573426573,38.20164783766187,1.0
39,53.23854453796679,38.13590463358936,817.4206896551724,21.379310344827587,62.06896551724138,38.269004501250166,1.0
40,63.99890210737569,37.28899255165312,812.2534246575342,12.32876712328767,50.68493150684932,37.41811877990153,1.0
41,59.864350675009256,43.59781222457419,829.7222222222222,15.27777777777778,57.638888888888886,43.75103606433169,1.0
42,28.385880284869305,33.15605440431614,834.7062937062936,11.888111888111888,57.34265734265735,33.27123273309336,1.0
43,36.6764284261418,39.18782099945485,823.1875,18.05555555555556,63.19444444444444,39.3255585692212,1.0
44,48.715008524052,42.00736489040906,844.2785714285715,28.57142857142857,53.57142857142857,42.15590493791347,1.0
45,52.899848789048136,39.02974721777239,860.2826086956521,18.115942028985508,57.971014492753625,39.17272882446631,1.0
46,39.72019413123169,25.33782444476208,633.2446808510638,3.723404255319149,18.617021276595743,25.40330545891113,1.0
47,42.46768454151079,24.07088716054421,644.7891891891892,2.702702702702702,28.10810810810811,24.13646103895336,1.0
48,46.32344800655834,25.352151367238413,625.4973821989529,2.6178010471204187,18.32460732984293,25.417475027204475,1.0
49,51.69086020795174,26.140336728915244,637.663101604278,5.88235294117647,29.94652406417112,26.21028735122913,1.0
50,46.26636492446726,23.775797719822787,587.3861386138614,5.445544554455446,25.742574257425744,23.834836956361134,1.0
51,35.6647517262437,20.12106217020222,606.0710659898477,1.5228426395939088,29.949238578680205,20.17257828598871,1.0
52,34.2941784907756,21.089608189913367,601.7424242424242,3.0303030303030303,30.80808080808081,21.14168361990257,1.0
53,38.74284469518697,20.51705994395197,594.205,2.5,27.500000000000004,20.56755610775062,1.0
54,33.09515851829148,37.48204389381443,714.8922155688623,20.35928143712575,63.47305389221557,37.59538435000994,1.0
55,40.400915713724665,32.98135377709194,718.1626506024096,10.240963855421686,57.831325301204814,33.080860193779486,1.0
56,40.91133400540734,29.342901150929443,693.3488372093024,6.395348837209303,47.674418604651166,29.40752415250536,1.0
57,42.39187927624144,33.79339802387443,738.4285714285714,11.801242236024844,58.38509316770186,33.899494787612184,1.0
58,27.83701025625561,23.27053173132972,695.9707602339181,1.1695906432748535,40.93567251461988,23.33562384130007,1.0
59,33.937904298835505,28.959247863330567,726.2987804878048,4.878048780487805,44.51219512195122,29.0475494710556,1.0
