SDNN,RMSSD,MEAN HR,Label
3.346640106,3.881580434,70.17,1
6.384235392,8.243785538,97.20333333,1
4.497251908,6.679474876,104.6822742,1
4.059576176,6.14334931,86.79461279,1
6.775845919,8.095582841,88.35472973,1
4.608687449,6.788470618,87.4222973,1
3.392139997,5.416025603,93.84353741,1
6.790750011,9.953463145,82.87328767,1
4.208248995,6.884247028,84.48464164,1
8.831760866,13.22875656,83.10583942,1
6.041522987,8.04673847,118.2019231,1
7.5,10.8012345,80.34502924,1
6.426153947,9.38083152,86.80139373,1
7.478173368,10.2265993,88.06944444,1
23.47161406,38.23174946,82.32517483,1
4.158587038,6.951258879,83.95454545,1
4.13781808,6.1514226,86.27719298,1
15.66007967,22.80716262,81.70671378,1
5.554248212,7.141428429,85.41342756,1
5.020546021,6.453453248,87.12811388,1
5.196152423,7.458657986,86.76868327,1
4.605466042,6.268675801,86.93214286,1
45.96194078,65,84.1827957,1
4.056786455,6.63768209,87.12635379,1
8.461125414,8.319989316,81.89891697,1
6.275171534,9.556847458,82.72101449,1
4.71859635,7.051756712,87.27372263,1
6.127999751,9.192388155,85.472,1
7.420283422,9.515537533,83.40808824,1
3.600505015,4.785394446,84.1697417,1
4.656108657,6.669202416,86.85608856,1
3.604761018,6.145667642,79.57462687,1
16.90255686,17.88055608,88.41263941,1
13.8383525,22.63846285,83.98127341,1
5.27696128,8.607859089,77.07865169,1
7.230886134,9.665845614,79.31578947,1
3.434690881,5.849563343,93.09433962,1
5.633234713,8.762292952,82.90494297,1
4.369562174,6.608075867,90.52091255,1
3.311635731,4.925368947,94.65,1
2.988071523,5.138093031,91.55769231,1
4.123105626,6.485560886,210.8615385,1
6.426153947,9.239244361,76.5984556,1
3.508393297,5.23808171,111.7743191,1
7.033685184,9.874208829,102.5390625,1
4.37289632,6.582805886,101.9176471,1
6.438210112,10.30309886,170.1190476,1
4.096456076,6.49175301,124.6771654,1
4.398592849,6.826419266,99.16996047,1
6.947421584,11.12055155,89.12698413,1
4.716699349,8.090830517,153.8286853,1
15.10518675,17.07044229,85.84,1
8.133092041,10.4835472,88.46153846,1
12.40407639,13.41174858,103.7246964,1
4.901894677,8.159131606,97.06504065,1
5.02106673,8.089774066,12.16488679,1
10.26320288,10.77032961,12.33507143,1
5.163977795,8.099382693,12.54086555,1
6.477310827,7.363574011,13.2309313,1
8.467374361,8.602325267,13.07729032,1
5.8002463,9.805246409,79.4717608,1
4.071406966,6.832171794,71.54748603,1
5.497367791,7.401991197,73.56521739,1
3.487251,5.573954208,73.8125,1
4.232051088,5.275730597,83.0730897,1
6.136412271,10.98989435,77.07317073,1
11.3137085,16,89.67109635,1
13.65092766,12.73304499,79.15,1
5.449326261,8.057485769,77.92123288,1
4.871538161,8.350995775,75.75949367,1
4.90766186,8.099919484,60.83388704,1
23.12358104,30.86664867,66.12333333,1
14.97998665,23.87048387,66.18729097,1
7.409774754,7.979139469,58.89261745,1
7.483314774,11.01514109,76.68770764,1
5.014265364,7.152191703,74.71333333,1
12.71918935,20.23198787,71.94648829,1
4.889115286,7.574913224,71.68791946,1
7.626508793,8.734987121,74.98316498,1
18.24828759,30.00416638,75.33108108,1
6.32455532,7.424621202,80.44067797,1
5.762170978,9.443329423,76.8707483,1
14.94912006,24.56962895,73.52559727,1
5.64006603,8.073324682,71.60958904,1
8.353974437,14.33720878,74.01718213,1
6.767569726,11.33578405,75.58965517,1
3.997691642,6,73.4982699,1
4.646504062,6.748456614,69.97569444,1
4.958024867,4.811252243,72.10126582,1
10.35637704,17.35223329,66.80398671,1
4.766483776,7.804427648,70.16,1
8.709764635,8.529947245,83.20598007,1
5.570941089,9.664367543,85.21333333,1
7.741354625,10.50849996,85.57190635,1
7.03562364,11.71003843,83.90604027,1
8.875997597,7.895146188,84.05387205,1
4.875369808,7.12795148,79.65540541,1
4.057327293,4.588027899,84.43389831,1
6.838128399,8.829401641,90.99319728,1
5.945386367,6.320601237,86.07849829,1
4.195235393,7.152621897,91.20547945,1
5.177895911,7.416198487,92.03092784,1
5.413657942,8.015609771,84.04482759,1
6.108002317,8.346656017,83.22491349,1
6.01479657,8.313309276,84.3125,1
6.520330197,11.00568035,86.63763066,1
4.652410938,7.295025106,89.3951049,1
6.035470204,9.947082208,85.2877193,1
3.936729035,5.173190965,76.23591549,1
8.508818954,11.00908716,77.06713781,1
5.273235965,8.106924338,77.65602837,1
8.393118875,11.74201857,79.55516014,1
3.943801647,5.964178784,80.87857143,1
29.36551265,43.61765698,79.64874552,1
3.679244774,5.986827646,79.23021583,1
8.444388214,11.39078575,79.21299639,1
5.010252646,8.693615322,77.91304348,1
4.790540195,7.003104901,80.05347594,1
4.438468204,4.415880433,81.92592593,1
3.679244774,5.986827646,84.5,1
8.444388214,11.39078575,14.24700997,1
5.010252646,8.693615322,11.2134,1
4.790540195,7.003104901,10.92237458,1
4.438468204,4.415880433,10.88815436,1
3.69368831,6.251666445,10.88877551,1
22.66421555,31.33156023,14.24700997,1
6.932325934,10.17595204,11.2134,1
4.725815626,8.062257748,10.92237458,1
11.20714058,17.61943372,10.88815436,1
4.281078757,6.86406473,10.88877551,1
32.90896534,40.30508653,80.95348837,1
8.538149682,12.20200348,81.18,1
4.082482905,5.934424261,67.37458194,1
3.346798201,5.077182071,66.75,1
4.373120511,7.046066905,80.88135593,1
4.487148641,5.587684871,85.47666667,1
5.555349203,7.861297603,86.68561873,1
16.45918473,24.17643481,87.2147651,1
4.398426292,5.349334969,84.21548822,1
5.382783571,8.655441448,78.30067568,1
29.09295447,34.25784582,82.86101695,1
